0,,,0,,,,
1,44,-73,1,12461,80,76,
2,39,-71,1,13665,72,63,
3,39,-79,1,11210,66,77,
4,39,-79,1,14817,60,88,
5,44,-76,1,11444,68,66,
6,42,-73,1,8713,60,79,
7,44,-74,1,1197,82,72,
8,41,-76,1,14740,68,67,
9,40,-80,1,14882,82,81,
10,40,-72,1,832,65,87,
11,44,-73,1,10536,73,66,
12,42,-78,1,5503,77,76,
13,42,-73,1,13333,74,66,
14,44,-80,1,11006,69,76,
15,43,-80,1,12606,63,70,
16,39,-74,1,9134,60,65,
17,44,-74,1,6049,82,74,
18,42,-73,1,9553,65,68,
19,42,-78,1,7612,81,85,
20,40,-79,1,1056,66,89,
21,40,-79,1,2346,66,89,
22,43,-76,1,18594,80,70,
23,41,-72,1,2000,85,65,
